codi_carrer,numpost,llepost,tipusnum,districte,barri,secc_est,secc_cens,dist_post,x_ed50,y_ed50,x_etrs89,y_etrs89,longitud_wgs84,latitud_wgs84
13290.0,40,,,3,033,,0329,,,,724355.2690026002,4372199.097897201,-0.3918710494617584,39.47015102823481
55710.0,16,,,11,115,,1145,,,,729541.5760026013,4370298.782897212,-0.3322943635704597,39.451679213344605
73440.0,8,,,14,141,,1410,,,,726805.3510026047,4374240.182897189,-0.3627227969187661,39.487880860514224
51420.0,14,,,7,073,,0727,,,,723300.2530025973,4371822.3638972035,-0.4042498631657445,39.467034248530624
81522.0,52,,,19,195,,1909,,,,731199.1440025826,4354490.229897317,-0.3185038847351353,39.30894536575116
25230.0,18,,,17,173,,1703,,,,725512.6680026068,4377472.6218971675,-0.37664480009457196,39.51731626899453
38940.0,107,,,16,161,,1612,,,,724216.2040026026,4374779.235897184,-0.39261846702336856,39.49341176161842
31440.0,40,,,10,101,,1007,,,,726814.6730026016,4370982.80389721,-0.3637221039893611,39.458558539567036
60600.0,3,,,17,171,,1701,,,,724440.1280026069,4378817.187897158,-0.3886557719869923,39.52969972608887
53400.0,22,,,5,051,,0503,,,,724867.3000026026,4374246.262897188,-0.3852341681737709,39.48844438512087
6960.0,17,,,10,104,,1031,,,,726612.221002599,4369188.739897221,-0.36668167806130686,39.44246325778638
65010.0,46,,,10,106,,1041,,,,727986.7010026004,4369359.082897221,-0.35066753242997467,39.44363392724261
18600.0,3,,,1,011,,0103,,,,725695.514002603,4373095.660897195,-0.3760026171969913,39.477870760977254
25680.0,130,,,12,124,,1247,,,,727980.3910026024,4371725.103897206,-0.34993290621916373,39.46493214216248
17790.0,28,,,6,063,,0619,,,,726697.0390026042,4373758.033897191,-0.3641449518436301,39.483569564825494
39300.0,9,,,9,091,,0905,,,,724619.8870025987,4370739.067897213,-0.3892892711115178,39.456939904525434
64530.0,9,,,15,152,,1519,,,,725521.4010026045,4375339.8488971805,-0.37726561845416323,39.49811666214294
11820.0,6,,,17,177,,1707,,,,724273.968002606,4377290.57589717,-0.39110169943740364,39.516001813276496
40650.0,7,,,14,141,,1415,,,,727077.9410026041,4373688.90389719,-0.3597440736741693,39.48284687731706
25950.0,13,,,12,121,,1202,,,,727981.0430026024,4371859.186897203,-0.34987952643254705,39.46613884727482
1140.0,39,,,3,034,,0337,,,,724973.8430026001,4371297.810897208,-0.3849910098767069,39.461876889314546
81350.0,4,,,16,161,,1626,,,,724119.3160026021,4374914.023897186,-0.3936987373813186,39.49465027479254
1140.0,60,,,3,034,,0335,,,,724926.8170025995,4371266.950897208,-0.38554748834466457,39.46161139703304
4260.0,18,,,17,173,,1703,,,,725508.4830026061,4376411.495897175,-0.37705287405686927,39.507766068209285
73830.0,27,,,19,192,,1905,,,,727168.4000025975,4367111.405897234,-0.3609311246672659,39.423618501786635
14730.0,5,,,6,062,,0613,,,,727404.7210026027,4371989.118897204,-0.35652789273826785,39.46746079473451
57300.0,98,,,3,033,,0329,,,,724301.8510025997,4372252.313897202,-0.3924735383978169,39.47064396156768
72960.0,42,,,19,192,,1905,,,,726935.9890025973,4367292.089897233,-0.3635670971089798,39.42530606702581
46050.0,5,,,1,013,,0112,,,,725235.7500026022,4373210.909897194,-0.3813037925289602,39.47902859892778
43230.0,27,,,5,055,,0542,,,,725918.3570026042,4374418.092897187,-0.37296621374535327,39.48971565058427
75120.0,13,,,3,034,,0337,,,,725109.0460026001,4371338.253897208,-0.38340735766467027,39.46220558854731
66330.0,67,,,5,052,,0515,,,,725776.5330026036,4373883.3988971915,-0.374794859667883,39.48494004205615
81298.0,8,,,14,142,,1420,,,,727508.8600026056,4374182.832897189,-0.3545701809416727,39.487178885103596
33000.0,78,,,19,195,,1909,,,,731221.4970025825,4354316.801897314,-0.31830451839773427,39.307378372602
35520.0,8,,,14,141,,1405,,,,727276.3160026043,4373834.326897193,-0.3573902755164311,39.48410345147699
12390.0,27,,,2,021,,0230,,,,725638.1242026009,4371250.200497209,-0.3772933305015946,39.461274516600774
31530.0,63,,,8,083,,0837,,,,723560.9300025974,4371271.770897206,-0.4014070008609708,39.462010512666986
18690.0,21,,,6,062,,0611,,,,727653.4340026041,4372742.002897197,-0.35338269668390115,39.47417176303009
46320.0,82,,,2,023,,0246,,,,726688.7920026027,4372073.415897201,-0.3648133223548469,39.46840838108461
81670.0,7,,,1,013,,0110,,,,725352.6080026025,4373265.506897194,-0.3799280280872523,39.47948944056737
