ID,Company,Type,Infrastructure,Type Infrastructure,City,Zip Code,Location,Address,Latitude,Longitude,Company_raw,Type_raw,Infrastructure_raw,Type Infrastructure_raw,City_raw,Location_raw,Address_raw,Zip Code_raw,Import_Source,Import_Classification,Data_Quality_Flag
90,InPost,Convenience Stores,Privada,Premises,Valencia,46005,Papeleria Barco De Papel,"C. de Salamanca, 47",39.46469930886759,-0.3628144795214239,InPost,Convenience stores,Private,Premises,Valencia,Papeleria Barco De Papel,"C. de Salamanca, 47",46005.0,,,
91,InPost,Convenience Stores,Privada,Kiosk,Valencia,46010,Kiosco Mestalla,"C. Micer Mascó, 19",39.47560756636007,-0.3620333555475531,InPost,Convenience stores,Private,Kiosk,Valencia,Kiosco Mestalla,"C. Micer Mascó, 19",46010.0,,,
92,InPost,Convenience Stores,Privada,Premises,Valencia,46020,Taller De Marcos,"C. Ramón Asensio, 5",39.482337124959365,-0.3587815235147008,InPost,Convenience stores,Private,Premises,Valencia,Taller De Marcos,"C. Ramón Asensio, 5",46020.0,,,
93,InPost,Convenience Stores,Privada,Premises,Valencia,46004,Cerdan Quilis Sl,Av. de Amado Granell Mesado,39.45590989080436,-0.3625946387268287,InPost,Convenience stores,Private,Premises,Valencia,Cerdan Quilis Sl,Av. de Amado Granell Mesado,46004.0,,,
94,InPost,Convenience Stores,Privada,Premises,Valencia,46020,Az Soluciones Contables,Calle Dr. Garcia Brustenga,39.480738704296485,-0.3570443322238815,InPost,Convenience stores,Private,Premises,Valencia,Az Soluciones Contables,Calle Dr. Garcia Brustenga,46020.0,,,
95,InPost,Convenience Stores,Privada,Premises,Valencia,46004,Locutorio Paris,"C. de Luis Oliag, 40",39.46101263079718,-0.3648091301718074,InPost,Convenience stores,Private,Premises,Valencia,Locutorio Paris,"C. de Luis Oliag, 40",46004.0,,,
96,InPost,Locker,Privada,Parking,Valencia,46021,24/7 Parking Apk2 Aragon,"Carrer de Xile, s/n",39.47178653962879,-0.356370271137981,InPost,Lockers,Private,Parking,Valencia,24/7 Parking Apk2 Aragon,"Carrer de Xile, s/n",46021.0,,,
97,InPost,Locker,Privada,Premises,Valencia,46010,Blue Onyx Lavanderia,"C. de Menéndez y Pelayo, 24",39.47846682104921,-0.3554090241374535,InPost,Lockers,Private,Premises,Valencia,Blue Onyx Lavanderia,"C. de Menéndez y Pelayo, 24",46010.0,,,
98,InPost,Convenience Stores,Privada,Premises,Valencia,46004,Js Moviles,"Av. Dr. Waksman, 25",39.45662198521995,-0.3725919512906043,InPost,Convenience stores,Private,Premises,Valencia,Js Moviles,"Av. Dr. Waksman, 25",46004.0,,,
99,Correos,Locker,Pública,Public Facility,Valencia,46009,Correos Valencia Suc 5. La SaãDia,"Av. de la Constitución, 111",39.49035630671944,-0.375452129865151,Correos,Lockers,Public,Public facility,Valencia,Correos Valencia Suc 5. La SaãDia,"Av. de la Constitución, 111",46009.0,,,
100,Correos,Locker,Privada,Supermarket,Valencia,46008,Supermercados Consum,"C/ Angel Guimera, 70",39.46979785891765,-0.3909711411682767,Correos,Lockers,Private,Supermarket,Valencia,Supermercados Consum,"C/ Angel Guimera, 70",46008.0,,,
101,Correos,Locker,Privada,Supermarket,Valencia,46021,Supermercados Consum,"Av. del Puerto, 79",39.466254800295886,-0.3524817336293045,Correos,Lockers,Private,Supermarket,Valencia,Supermercados Consum,"Av. del Puerto, 79",46021.0,,,
102,Correos,Locker,Privada,Supermarket,Valencia,46006,Supermercados Consum,"C. de Sueca, 34",39.46141306231918,-0.3750785067165566,Correos,Lockers,Private,Supermarket,Valencia,Supermercados Consum,"C. de Sueca, 34",46006.0,,,
103,Correos,Locker,Privada,Supermarket,Valencia,46010,Supermercados Consum,"C. Alboraya, 31",39.48285278565497,-0.3704926740639288,Correos,Lockers,Private,Supermarket,Valencia,Supermercados Consum,"C. Alboraya, 31",46010.0,,,
