Index_1,Index_2,ID_1,ID_2,Company_1,Company_2,Type_1,Type_2,Group_1,Group_2,Location_1,Location_2,Address_1,Address_2,Distance_m,Address_Similarity,Location_Similarity,Address_Numbers_Available,Same_Address_Number,Same_Company,Same_Type,Same_Group,Should_Cluster,Pair_Classification,Pair_Rule
614,964,615,965,Ctt Express,Pudo,Convenience Stores,Click&Collect,PUDO,PUDO,Libreria Salamanca,Pcbox Valencia (Salamanca),"C. de Salamanca, 42","C. de Salamanca, 48",27.26,94.12,66.67,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
647,649,648,650,Ctt Express,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Kiosco Acme,Papelería La Zaidía,"C/ del Padre Urbano, 37","C/ del Padre Urbano, 33",25.84,95.24,20.0,True,False,True,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
649,834,650,835,Ctt Express,Nacex,Convenience Stores,Convenience Stores,PUDO,PUDO,Papelería La Zaidía,Kiosco Acme (4601-44),"C/ del Padre Urbano, 33","C/ del Padre Urbano, 37",27.87,95.24,21.05,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
670,671,671,672,Ctt Express,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Informatica Ramirez,Papeleria Gloria,"Carrer José María Mortes Lerma, 29","Carrer José María Mortes Lerma, 32",19.42,96.97,22.86,True,False,True,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
682,859,683,860,Ctt Express,Nacex,Convenience Stores,Lsp Pudos,PUDO,PUDO,Papeleria Enysa,NACEX,"Carrer de Quartell, 4","C/ de la Serra d'Agullent, 23",23.91,38.3,20.0,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
703,840,704,841,Ctt Express,Nacex,Convenience Stores,Convenience Stores,PUDO,PUDO,Kiosco Roma,Kiosco Roma (4604-86),"C. Brasil, 45","Pl. Roma, 5",15.09,30.0,73.33,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
715,792,716,793,Ctt Express,Gls,Convenience Stores,Convenience Stores,PUDO,PUDO,Locutorio Nino,Ps Outlet Destino 19,"C/ d'Alcanyís, 34","C/ de Pedro Cabanes, 86",23.88,50.0,41.18,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
715,926,716,927,Ctt Express,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Locutorio Nino,Outlet Destino 19,"C/ d'Alcanyís, 34","C/ de Pedro Cabanes, 86",27.27,50.0,45.16,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
767,807,768,808,Ctt Express,Gls,Convenience Stores,Convenience Stores,PUDO,PUDO,Mg Movil Valencia 2023,Ps Bambini Moda Infantil Y Mujer,"C. Campamento, 38",C / Campamento 44 bajo,19.85,74.29,29.63,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
772,869,773,870,Gls,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Ps Karpet Papeleria Tecnica,Fnx-Estanco Joaquin Costa 44,"C. Joaquín Costa, 46","C. Joaquín Costa, 44",24.38,94.44,21.82,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
830,859,831,860,Nacex,Nacex,Convenience Stores,Lsp Pudos,PUDO,PUDO,Papelería Enysa (4601-39),NACEX,"Carrer Cuartell, 4","C/ de la Serra d'Agullent, 23",23.22,40.91,14.29,True,False,True,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
836,885,837,886,Nacex,UPS,Convenience Stores,Locker,PUDO,PUDO,Mobile Valencia (4601-46),Lidl Cl Sagunto Vlc,"C. de Sagunto, 103","C. de Sagunto, 118",25.1,87.5,23.81,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
891,892,892,893,UPS,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Fnx-Loterias Vimas,Planta Loca Shop,"C. Alboraya, 48","C. Alboraya, 45",26.22,92.31,35.29,True,False,True,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
