Provincias;Municipios;Secciones;Sexo;Edad;Periodo;Total
28 Madrid;28079 Madrid;2807902096 Madrid sección 02096;Total;Todas las edades;2025;1.698
28 Madrid;28079 Madrid;2807902097 Madrid sección 02097;Total;Todas las edades;2025;1.107
28 Madrid;28079 Madrid;2807902098 Madrid sección 02098;Total;Todas las edades;2025;1.412
28 Madrid;28079 Madrid;2807902099 Madrid sección 02099;Total;Todas las edades;2025;2.141
28 Madrid;28079 Madrid;2807902100 Madrid sección 02100;Total;Todas las edades;2025;1.786
28 Madrid;28079 Madrid;2807902101 Madrid sección 02101;Total;Todas las edades;2025;1.570
28 Madrid;28079 Madrid;2807902102 Madrid sección 02102;Total;Todas las edades;2025;1.717
28 Madrid;28079 Madrid;2807902103 Madrid sección 02103;Total;Todas las edades;2025;2.591
28 Madrid;28079 Madrid;2807902104 Madrid sección 02104;Total;Todas las edades;2025;1.438
28 Madrid;28079 Madrid;2807902105 Madrid sección 02105;Total;Todas las edades;2025;1.744
28 Madrid;28079 Madrid;2807902106 Madrid sección 02106;Total;Todas las edades;2025;2.306
28 Madrid;28079 Madrid;2807902107 Madrid sección 02107;Total;Todas las edades;2025;1.874
28 Madrid;28079 Madrid;2807902108 Madrid sección 02108;Total;Todas las edades;2025;970
28 Madrid;28079 Madrid;2807902109 Madrid sección 02109;Total;Todas las edades;2025;1.374
28 Madrid;28079 Madrid;2807902110 Madrid sección 02110;Total;Todas las edades;2025;1.646
28 Madrid;28079 Madrid;2807902111 Madrid sección 02111;Total;Todas las edades;2025;1.395
28 Madrid;28079 Madrid;2807902112 Madrid sección 02112;Total;Todas las edades;2025;1.527
28 Madrid;28079 Madrid;2807902113 Madrid sección 02113;Total;Todas las edades;2025;1.730
28 Madrid;28079 Madrid;2807902114 Madrid sección 02114;Total;Todas las edades;2025;1.209
28 Madrid;28079 Madrid;2807903001 Madrid sección 03001;Total;Todas las edades;2025;1.657
28 Madrid;28079 Madrid;2807903002 Madrid sección 03002;Total;Todas las edades;2025;935
28 Madrid;28079 Madrid;2807903003 Madrid sección 03003;Total;Todas las edades;2025;894
28 Madrid;28079 Madrid;2807903004 Madrid sección 03004;Total;Todas las edades;2025;1.055
28 Madrid;28079 Madrid;2807903005 Madrid sección 03005;Total;Todas las edades;2025;733
28 Madrid;28079 Madrid;2807903006 Madrid sección 03006;Total;Todas las edades;2025;1.983
28 Madrid;28079 Madrid;2807903007 Madrid sección 03007;Total;Todas las edades;2025;1.014
28 Madrid;28079 Madrid;2807903008 Madrid sección 03008;Total;Todas las edades;2025;1.106
28 Madrid;28079 Madrid;2807903009 Madrid sección 03009;Total;Todas las edades;2025;1.031
